"whale.id","matriline","year","sex","birth.year","death.year","mean.ep","n.ep","SD","area","age","pregnancy","pregnancy.simple","status","num.offspring","num.births","num.sons","num.daughters","has.son","has.adultson","age.sex.class.full","age.sex.class","salmon","mother.status"
"W1","M1",2014,"f",1981,NA,1.243424293,3,0.011730045,"J strait",33,"Not pregnant","Not pregnant","alive",1,2,0,1,"no","no","female reproductive","reproductive female",1.706666667,NA
"W2","M1",2014,"m",1992,NA,1.199427282,2,0.002731332,"J strait",22,"Not Applicable","Not pregnant","alive",0,0,0,0,"no","no","physically mature male","physically mature male",1.706666667,NA
"W3","M1",2014,"f",1997,NA,1.13538037,4,0.005365899,"J strait",17,"Nursing 1","Nursing","alive",2,2,1,1,"yes","no","female reproductive","reproductive female",1.706666667,NA
"W4","M1",2014,"m",2009,NA,1.096730388,5,0.01425693,"J strait",5,"Not Applicable","Not pregnant","alive",0,0,0,0,"no","no","male juvenile","juvenile",1.706666667,NA
"W5","M2",2014,"m",1994,NA,1.197146417,3,0.014851744,"J strait",20,"Not Applicable","Not pregnant","alive",0,0,0,0,"no","no","physically mature male","physically mature male",1.706666667,NA
"W6","M3",2014,"m",1971,2017,1.138239696,3,0.006922677,"J strait",43,"Not Applicable","Not pregnant","alive",0,0,0,0,"no","no","physically mature male","physically mature male",1.706666667,"dead"
"W7","M4",2014,"m",1982,2017,1.266019905,3,0.031243015,"J strait",32,"Not Applicable","Not pregnant","alive",0,0,0,0,"no","no","physically mature male","physically mature male",1.706666667,"dead"
"W8","M5",2014,"f",2013,NA,1.136993177,1,NA,"J strait",1,"Not Applicable","Not pregnant","alive",0,0,0,0,"no","no","female calf","calf",1.706666667,NA
"W9","M5",2014,"f",1980,NA,1.19936937,2,0.005539789,"J strait",34,"Nursing 2","Nursing","alive",4,5,1,3,"yes","yes","female reproductive","reproductive female",1.706666667,NA
"W10","M5",2014,"m",1996,2023,1.226791692,2,0.020554655,"J strait",18,"Not Applicable","Not pregnant","alive",0,0,0,0,"no","no","physically mature male","physically mature male",1.706666667,NA
"W11","M5",2014,"f",2004,NA,1.146388345,3,0.0062894,"J strait",10,"Not Applicable","Not pregnant","alive",0,0,0,0,"no","no","female juvenile","juvenile",1.706666667,NA
"W12","M6",2014,"m",2014,NA,1.173107132,1,NA,"J strait",0,"Not Applicable","Not pregnant","alive",0,0,0,0,"no","no","male calf","calf",1.706666667,NA
"W13","M6",2014,"f",1999,NA,1.128149273,3,0.004451037,"J strait",15,"Nursing 1","Nursing","alive",1,1,1,0,"yes","no","female reproductive","reproductive female",1.706666667,NA
"W14","M6",2014,"m",2005,NA,1.162411504,4,0.010377886,"J strait",9,"Not Applicable","Not pregnant","alive",0,0,0,0,"no","no","male juvenile","juvenile",1.706666667,NA
"W15","M6",2014,"m",2011,NA,1.132737531,3,0.006376597,"J strait",3,"Not Applicable","Not pregnant","alive",0,0,0,0,"no","no","male calf","calf",1.706666667,NA
