"year","sex","birth.year","mean.ep","n.ep","age","pregnancy","num.offspring","num.births","num.sons","num.daughters","has.son","has.adultson","salmon","pregnancy.simple","has.offspring","check","gave.birth","menopause","whale.id","matriline"
2023,"f",1981,1.261050886,4,42,"Not pregnant",1,1,0,1,"no","no",1.11,"Not pregnant","yes","y","n","post","W1","M1"
2022,"f",1981,1.25993642,15,41,"Not pregnant",1,1,0,1,"no","no",1.036666667,"Not pregnant","yes","y","n","pre","W1","M1"
2021,"f",1981,1.258720669,10,40,"Not pregnant",1,1,0,1,"no","no",1.056666667,"Not pregnant","yes","y","n","pre","W1","M1"
2017,"f",1981,1.257709161,9,36,"Not pregnant",1,1,0,1,"no","no",1.03,"Not pregnant","yes","y","n","pre","W1","M1"
2018,"f",1981,1.257585984,9,37,"Not pregnant",1,1,0,1,"no","no",0.8,"Not pregnant","yes","y","n","pre","W1","M1"
2019,"f",1981,1.25344713,6,38,"Not pregnant",1,1,0,1,"no","no",0.853333333,"Not pregnant","yes","y","n","pre","W1","M1"
2017,"f",1993,1.250852428,3,24,"Not pregnant",0,0,0,0,"no offspring","no offspring",1.03,"Not pregnant","no","y","n","pre","W2","M2"
2020,"f",1981,1.247704569,7,39,"Not pregnant",1,1,0,1,"no","no",0.98,"Not pregnant","yes","y","n","pre","W1","M1"
2014,"f",1980,1.19936937,2,34,"Nursing 2",4,4,1,3,"yes","yes",1.706666667,"Nursing","yes","y","y","pre","W3","M3"
2016,"f",1980,1.224876578,3,36,"Pregnant",4,4,1,3,"yes","yes",1.246666667,"Pregnant","yes","y","y","pre","W3","M3"
2018,"f",1980,1.186149216,1,38,"Nursing 2",5,5,1,4,"yes","yes",0.8,"Nursing","yes","y","y","pre","W3","M3"
2019,"f",1980,1.193495808,22,39,"Nursing 3",5,5,1,4,"yes","yes",0.853333333,"Not pregnant","yes","y","y","pre","W3","M3"
2021,"f",1980,1.204747766,13,41,"Pregnant",5,5,1,4,"yes","yes",1.056666667,"Pregnant","yes","y - pregnancy visual, consider removing","y","pre","W3","M3"
2015,"f",1981,1.246927289,6,34,"Not pregnant",1,1,0,1,"no","no",1.563333333,"Not pregnant","yes","y","n","pre","W1","M1"
2014,"f",1981,1.243424293,3,33,"Not pregnant",1,1,0,1,"no","no",1.706666667,"Not pregnant","yes","y","n","pre","W1","M1"
2017,"f",1972,1.239895563,5,45,"Not pregnant",5,5,2,3,"yes","yes",1.03,"Not pregnant","yes","y","y","post","W4","M4"
2017,"f",1981,1.237336015,4,36,"Not pregnant",3,3,1,1,"yes","no",1.03,"Not pregnant","yes","y","n","pre","W5","M5"
2019,"f",1999,1.235601801,4,20,"Not pregnant",1,1,1,0,"yes","no",0.853333333,"Not pregnant","yes","y","y","pre","W6","M6"
2017,"f",1963,1.229649306,1,54,"Not pregnant",2,2,0,2,"no","no",1.03,"Not pregnant","yes","y","y","post","W7","M7"
2017,"f",1992,1.224940085,5,25,"Not pregnant",2,2,1,0,"yes","no",1.03,"Not pregnant","yes","y","y","pre","W8","M4"
2020,"f",1999,1.224485955,4,21,"Not pregnant",1,1,1,0,"yes","no",0.98,"Not pregnant","yes","y","y","pre","W6","M6"
2021,"f",1974,1.221907708,13,47,"Not pregnant",2,4,2,0,"yes","yes",1.056666667,"Not pregnant","yes","y","y","post","W9","M8"
